Acronym;Description
NMSDKRSPI;Number of masters of fault dfp_krspi
NMSDKS1;Number of masters of fault dfp_ks1
NMSDKS2;Number of masters of fault dfp_ks2
NMSDKUPPL;Number of masters of fault dfp_kuppl
NMSDLASH;Number of masters of fault dfp_lash
NMSDLDE;Number of masters of fault dfp_lde
NMSDLDR;Number of masters of fault dfp_ldr
NMSDLLRH;Number of masters of fault dfp_llrh
NMSDLM;Number of masters of fault dfp_lm
NMSDLSH;Number of masters of fault dfp_lsh
NMSDLSUIA;Number of masters of fault dfp_lsuia
NMSDLSUIP;Number of masters of fault dfp_lsuip
NMSDLSUKS;Number of masters of fault dfp_lsuks
NMSDLSUUN;Number of masters of fault dfp_lsuun
NMSDLSUVM;Number of masters of fault dfp_lsuvm
NMSDLSV;Number of masters of fault dfp_lsv
NMSDLUEA;Number of masters of fault dfp_luea
NMSDLUEB;Number of masters of fault dfp_lueb
NMSDLUEC;Number of masters of fault dfp_luec
NMSDLZSR;Number of masters of fault dfp_lzsr
NMSDMD;Number of masters of fault dfp_md
NMSDMD00;Number of masters of fault dfp_md00
NMSDMD01;Number of masters of fault dfp_md01
NMSDMD02;Number of masters of fault dfp_md02
NMSDMD03;Number of masters of fault dfp_md03
NMSDMDB;Number of masters of fault dfp_mdb
NMSDMDSCH;Number of masters of fault dfp_mdsch
NMSDMFA;Number of masters of fault dfp_mfa
NMSDMILE;Number of masters of fault dfp_mile
NMSDMSVE;Number of masters of fault dfp_msve
NMSDN;Number of masters of fault dfp_n
NMSDNWKWA;Number of masters of fault dfp_nwkwa
NMSDNWKWE;Number of masters of fault dfp_nwkwe
NMSDNWS;Number of masters of fault dfp_nws
NMSDNWSE;Number of masters of fault dfp_nwse
NMSDNWVPA;Number of masters of fault dfp_nwvpa
NMSDNWVPE;Number of masters of fault dfp_nwvpe
NMSDNX;Number of masters of fault dfp_nx
NMSDORA;Number of masters of fault dfp_ora
NMSDPAC;Number of masters of fault dfp_pac
NMSDPBKVE;Number of masters of fault dfp_pbkve
NMSDPBKVR;Number of masters of fault dfp_pbkvr
NMSDPH;Number of masters of fault dfp_ph
NMSDPH2;Number of masters of fault dfp_ph2
NMSDPHM;Number of masters of fault dfp_phm
NMSDPLLSU;Number of masters of fault dfp_pllsu
NMSDPN;Number of masters of fault dfp_pn
NMSDPOEL;Number of masters of fault dfp_poel
NMSDPS1E;Number of masters of fault dfp_ps1e
NMSDPS2E;Number of masters of fault dfp_ps2e
NMSDPS3E;Number of masters of fault dfp_ps3e
NMSDPSR;Number of masters of fault dfp_psr
NMSDPSRE;Number of masters of fault dfp_psre
NMSDPSRR;Number of masters of fault dfp_psrr
NMSDPUE;Number of masters of fault dfp_pue
NMSDPUR;Number of masters of fault dfp_pur
NMSDPVD;Number of masters of fault dfp_pvd
NMSDPVDE;Number of masters of fault dfp_pvde
NMSDPVDR;Number of masters of fault dfp_pvdr
NMSDSALSU;Number of masters of fault dfp_salsu
NMSDSGPP;Number of masters of fault dfp_sgpp
NMSDSTAE;Number of masters of fault dfp_stae
NMSDSTHDR;Number of masters of fault dfp_sthdr
NMSDTA;Number of masters of fault dfp_ta
NMSDTAH;Number of masters of fault dfp_tah
NMSDTANKL;Number of masters of fault dfp_tankl
NMSDTCM;Number of masters of fault dfp_tcm
NMSDTCS;Number of masters of fault dfp_tcs
NMSDTES;Number of masters of fault dfp_tes
NMSDTESG;Number of masters of fault dfp_tesg
NMSDTEVE;Number of masters of fault dfp_teve
NMSDTHM;Number of masters of fault dfp_thm
NMSDTM;Number of masters of fault dfp_tm
NMSDTME;Number of masters of fault dfp_tme
NMSDTMP;Number of masters of fault dfp_tmp
NMSDTOL;Number of masters of fault dfp_tol
NMSDTUM;Number of masters of fault dfp_tum
NMSDUB;Number of masters of fault dfp_ub
NMSDUBR;Number of masters of fault dfp_ubr
NMSDUFMV;Number of masters of fault dfp_ufmv
NMSDUFNC;Number of masters of fault dfp_ufnc
NMSDUFPR;Number of masters of fault dfp_ufpr
NMSDUFRKC;Number of masters of fault dfp_ufrkc
NMSDUFSGA;Number of masters of fault dfp_ufsga
NMSDUFSGB;Number of masters of fault dfp_ufsgb
NMSDUFSGC;Number of masters of fault dfp_ufsgc
NMSDUFSPSC;Number of masters of fault dfp_ufspsc
NMSDULSU;Number of masters of fault dfp_ulsu
NMSDURRAM;Number of masters of fault dfp_urram
NMSDURROM;Number of masters of fault dfp_urrom
NMSDURRST;Number of masters of fault dfp_urrst
NMSDUVSE;Number of masters of fault dfp_uvse
NMSDVFZ;Number of masters of fault dfp_vfz
NMSDWDA;Number of masters of fault dfp_wda
NMSDWFS;Number of masters of fault dfp_wfs
NMSDZZZ;Number of masters of fault dfp_zzz
NMSVRECURH;Engine Speed Deviation limit for activation of Reduced Current Control
NMSVRECURS;Engine Speed Threshold for activation of Reduced Current Control
NMSVZPAH;Hysteresis threshold engine speed MSV two-point-control
NMXALU;Max. engine speed for deactivating misfire detection
NMXDAE;Maximum permissible engine speed at throttle actuator limp-home operation
NMXDHDEVO;Maximum engine speed for function DHDEVO
NMXGENOT;Maximum engine speed during transmission limp-home
NMXHDEV;Max. allowed engine speed in case of open clamping HPIV
NMXHKS;Maximum engine speed for operating mode HKS
NMXHSP;Maximum engine speed for operating mode HSP
NMXMDSKA;Maximum permitted engine speed in case of unknown throttle position -> cut off
NMXNSAD;Max. engine speed for afterstart adaptation
NMXPHPOS;Engine speed threshold for monitoring the mountingposition of the camshaft wheel
NMXPNL;Gain of proportional component rpm control in case of disabled throttle drive
NMXPNLBF;Appraisal of Gain of proportional component rpm control for normal operation
NMXPRLG;Gain of proportional component rpm control for normal operation
NMXPUA;Maximum engine speed pin unlock algorithm
NMXSKA_UC;Max. engine speed threshold for fuel cut-off at instruction test
NMXSKA_UM;Engine limiting speed for entire fuel cut-off SKA
NMZWGRUSYN;Maximum engine speed for calculation of basic ignition angle maps in synchro-tas
NNPTMMX;Max. engine speed threshold to enable tmot signal plausibility check
NNSTA;Engine-speed transition normal -> start
NNWMX;Max. speed threshold for switch off camshaft closed loop control
NNWTMN;Min threshold of engine speed to enable camshaft control
NNWTWOTL;Eng. Speed for Cam Control enable during WOT launch
NO1;Upper engine-speed threshold range 1
NO1DZA;Upper engine-speed threshold range 1 (DZA)
NO2;Upper engine-speed threshold range 2
NO3;Upper engine-speed threshold range 3
NO3DZA;Upper engine-speed threshold range 3 (DZA)
NOBMINC;Value accumulated if no reference gap is detected
NOBMINIT;Initializing value for the counter of lost reference marks
NOBMSTMX;Maximum value of not detected reference marks while starting
NOFOF1;Upper speed threshold for fuel-off adaptation
NOFOF2;Upper speed threshold for fuel-off adaptation
NOLRA;Codeword for release of adaptation
NOMSR;Value of interactive MSR request
NOSGS;Comparision value SGS request inactiv
NPSRSEG;Engine speed threshold for switching to segment raster
NPSRSVMN;Engine speed limit for lower manifold pressure of signal variation check
NPULSMN;Engine speed limit where pulsation at manifold appears
NPUPVDMX;Upper engine speed limit for comparison pu - pvd
NPVDGMN;Engine speed limit for calculating pressure in syn
NPVDSEG;Min. engine speed for average value formation via segment pvd
NRDEMAX;Maximum speed, at which NW-DETECTION works
NRKAB;Minumum engine speed for limitation rkat correction
NRKTI_UM;Lower engine speed threshold for rkti-check
NRKTPATU;Threshold for delay of dew-point end upstream pre-catalyst
NRKTPFTU;Threshold for delay of dew-point end downstream pre-catalyst
NRKTPKTU;Threshold for delay of dew-point end downstream catalyst
NRVSMX1;RVS monitoring maximum rpm threshold1 for disable fuel
NRVSMX2;RVS monitoring maximum rpm threshold2 for disable fuel
NSACFSTM;Desired engine speed with air conditioner on (S_AC = 1) and AT in Drive (S_fs=1)
NSACTM;Desired engine speed with air conditioner on (S_AC = 1)
NSALSUZ;Number of valid fuel cut off events to set cycle flag
NSALSUZFA;Number of valid fuel cut off events to set cycle flag after function request
NSALSUZH;Number of valid overrun processes for setting the cycle flag at rapid healing
NSC_T2_UC;After-start monitoring time 2 in instruction test
NSC_T2_UM;After-start monitoring time 2 for the watchdog function
NSC_T_UM;After-start monitoring time for the watchdog function
NSEGMAX_UM;Max. engine speed in the function monitoring
NSHLL;Minimal target speed for hot idling
NSKAZO_UC;Engine speed offset for ignition off at fuel cut off in instruction test
NSKAZO_UM;Engine speed offset for ignition off at fuel cut off in function monitoring
NSKO;Desired speed for AC-system
NSKS;Targen speed to prevent boiling
NSLPP;Target speed depending on the pump pressure of power steerung
NSLPPFS;Target speed depending on the pump pressure of power steering with B_fs=1
NSLPWG;Desired speed when PWG-signals malfunction
NSNLDG;Target-speed increase for speed-sensor limp-home
NSNOT;Target engine speed while by throtle inadequacy
NSOF_T_UM;Debouncing time for the switch-off of the after-start expansion
NSOLMX;Limitation of target idle speed
NSTAK;Threshold cranking engine speed for rewing-up detection
NSTART;Engine speed limit for low engine speed exit (for post-start torque increase)
N_START_UM;Engine speed threshold for underspeed exit for the watchdog function
NSTDMD;Max. engine speed for deactivating misfire detection
NSTEND;Engine speed limit for start end (for post-start torque increase)
N_STEND_UM;Engine speed threshold for end of start in the watchdog function
NSTNM;Transition start -> normal
NSTOEL;Idle speed reference: engine oil overheat
NSWO1;Engine-speed threshold 1 for switching calculation
NSWO2;Engine-speed threshold 2 for switching calculation
NTIPLL;Speed limit for TIP-IN
NTTOOTH;Number of tooth for the TOSS (Transmission output shaft signal)
NTUMTA;Threshold engine speed for determination ambient temperature
NU1;Lower engine-speed threshold range 1
NU2;Lower engine-speed threshold range 2
NU2FA;Lower enginespeed threshold range 2 at function-requirement (B_falra)
NU3;Lower engine-speed threshold range 3
NUFOF1;Lower speed threshold for fuel-off adaptation
NUFOF2;Lower speed threshold for fuel-off adaptation
NUFOL_UC;Engine speed threshold for monitoring without lambda-check in instruction test
NUFOL_UM;Engine speed threshold for monitoring without lambda check
NVERZMN;Minimal engine speed for dealy time
NVLSUMRSMX;Max. number of starts at tmst>TMOTMRSMX and condition B_vlsumrs
NVQUOT1O;Gear detection n/v 1. gear high
NVQUOT1U;Gear detection n/v 1. gear low
NVQUOT2O;Gear detection n/v 2. gear high
NVQUOT2U;Gear detection n/v 2. gear low
NVQUOT3O;Gear detection n/v 3. gear high
NVQUOT3U;Gear detection n/v 3. gear low
NVQUOT4O;Gear detection n/v 4. gear high
NVQUOT4U;Gear detection n/v 4. gear low
NVQUOT5O;Gear detection n/v 5. gear high
NVQUOT5U;Gear detection n/v 5. gear low
NVQUOT6O;Gear detection n/v 6. gear high
NVQUOT6U;Gear detection n/v 6. gear low
NWDK3;Minimum engine speed for calculation of throttle angle default value from charge
NWDKSST;Threshold for deactivation desired throttle position without torque structur
NWENG;Fuel cut-in engine speed
NWENGFS;Delta Fuel cut-in engine speed with Drive
NWEVO;Camshaft. limited adjustment for oil pressure
NWFMXA;Max. val. of the fault debounc. count. NW-actuator (exhaust) f. fault entry
NWFMXE;Max. val. of the fault debounc. count. NW-actuator (intake) f. fault entry
NWFMXKHA;Max value of fault debouncing counter inlet camshaft actuator for error entry du
NWFMXKHE;Max value of fault debouncing counter inlet camshaft actuator for error entry du
NWFW;Calculation factor angle camshaft
NWKEV;Engine speed Parameter for calculation thermal contact of fresh air
NWPMBBR;Minimum speed for limiting pedal travel for operated brake
NWSFAT;Cam control (setpoint with tester)
NWSIGTOL;Tolerance of the camshaft edges
NWSOLLA;Setpoint cams (NWS) (exhaust)
NWSOLLE;Setpoint cams (NWS) (inlet)
NWTMKHA;Factor desired exhaust cam angle catalyst heating during transition cold -> warm
NWTMKHE;Factor desired inlet cam angle catalyst heating during transition cold -> warm
NWWUE;Calculation of camshaft overlap
NZDIAGH;Upper rotational speed for diagnosis enable
NZHDTL;Speed threshold for decrementing time counter for hot idling
NZHITL;Speed threshold for incrementing time counter for hot idling
NZMAX_UM;Max. engine speed from tooth counter calc. at missing synchro in the FU
O2REF;Oxygen concentration in ambient air (0 rel. air humidity)
O2SAMN;Min. allowable O2-Concentration to activate adjustment of LSU in air
O2SAMX;Max. allowable O2-Concentration to activate adjustment of LSU in air
O2VK;Calculation voltage / O2, LSU sensor upstream of the catalyzer
O2VKS;Oxygen content threshold for reset of counter for fuel in oil
OFAPIRGMN;Minimum integrator adaptation value for pirg adaptation
OFAPIRGMX;Maximum integrator adaptation value for pirg adaptation
OFFWNWDKHA;Offsetangle for fault threshold KFDWNWDMXA during catalyst heating
OFFWNWDKHE;Offsetangle for fault threshold KFDWNWDMXE during catalyst heating
OFIPUMN;Lower limit for intgrator: ambient pressure offset
OFIPUMX;Upper limit for intgrator: ambient pressure offset
OFIPVDMN;Lower limit for intgrator: pressure upstream throttle blade- offset
OFIPVDMX;Upper limit for intgrator: pressure upstream throttle blade- offset
OFMSNDKMN;Minimum value offset norm air mass flow through throttle
OFMSNDKMX;Maximum value offset norm air mass flow through throttle
OFMSNDMSMN;Threshold normed desireds air mass flow for enable adaption of ofmsndk
OFMSNDMSMX;Maximum threshold normed desireds air mass flow for enable adaption of ofmsndk
OFMSNWDKHF;Leakage of throttle blade for calculation of wdkhf
OFPSXSMN;Min. correction of pressure by ps-controller
OFPSXSMX;Max correction of pressure by ps-controller
OFQSYNADAP;Offset between adapted phase edge and phase edge in start
OMC_T_UM;Error tolerance time for error operation mode changes in the function monitoring
OMSNDKLSMX;Threshold f. detect. of a leak in the intake manifold
OPBKVUKKB;Offset to DPBKVUKKPU while braking
OPBKVUKNKH;Offset to DPBKVUKNKH while braking
OPBKVUKNWB;Offset to DPBKVUKNW while braking
OPBKVUKPB;Offset to DPBKVUKP while braking
OPBKVUKPUB;Offset to DPBKVUKPU while braking
ORADN;Lower threshold for diagnosis of additive correction
ORADNFA;Lower threshold for diagnosis of additive correction at function-requirement
ORADX;Upper threshold for diagnosis of additive correction
ORADXFA;Upper threshold for diagnosis of additive correction at function-requirement
ORAMN;Lower threshold of additive correction
ORAMX;Upper threshold of additive correction
ORARN;Reduced lower threshold of additive correction
ORARX;Reduced upper threshold of additive correction
ORASPV;Speed threshold for disable additive correction
OSCDKOSC;Curve for rescaling OSC values measured by fuel cut-off to catalyst diagnosis
OSCKTD;Threshold of OSC during catalyst monitoring for passing
OSCKTDNG;Measurement range of normalized OSC
OSCKTDNGT;Measurement range of normalized OSC in tester modus
OSCMXHK;Maximal value of the OSC of the main catalyst, for plausibility check
OSCNKTDMX;Maximum of new catalyst OSC
OXVEVABMX;Maximal oxygen mass before cut-off for validation of the measurement
P2MSDAAA;Pointer onto master of fault dfp_aaa
P2MSDAAV;Pointer onto master of fault dfp_aav
P2MSDAAVE;Pointer onto master of fault dfp_aave
P2MSDANWS;Pointer onto master of fault dfp_anws
P2MSDANWSE;Pointer onto master of fault dfp_anwse
P2MSDBKVP;Pointer onto master of fault dfp_bkvp
P2MSDBKVPE;Pointer onto master of fault dfp_bkvpe
P2MSDBM;Pointer onto master of fault dfp_bm
P2MSDBREMS;Pointer onto master of fault dfp_brems
P2MSDCAN;Pointer onto master of fault dfp_can
P2MSDCAS;Pointer onto master of fault dfp_cas
P2MSDCCGW;Pointer onto master of fault dfp_ccgw
P2MSDCGE;Pointer onto master of fault dfp_cge
P2MSDCGW;Pointer onto master of fault dfp_cgw
P2MSDDK;Pointer onto master of fault dfp_dk
P2MSDDK1P;Pointer onto master of fault dfp_dk1p
P2MSDDK2P;Pointer onto master of fault dfp_dk2p
P2MSDDSBKV;Pointer onto master of fault dfp_dsbkv
P2MSDDSKV;Pointer onto master of fault dfp_dskv
P2MSDDSL;Pointer onto master of fault dfp_dsl
P2MSDDSS;Pointer onto master of fault dfp_dss
P2MSDDST;Pointer onto master of fault dfp_dst
P2MSDDSTR;Pointer onto master of fault dfp_dstr
P2MSDDSU;Pointer onto master of fault dfp_dsu
P2MSDDVEE;Pointer onto master of fault dfp_dvee
P2MSDDVEF;Pointer onto master of fault dfp_dvef
P2MSDDVEFO;Pointer onto master of fault dfp_dvefo
P2MSDDVEL;Pointer onto master of fault dfp_dvel
P2MSDDVEN;Pointer onto master of fault dfp_dven
P2MSDDVER;Pointer onto master of fault dfp_dver
P2MSDDVET;Pointer onto master of fault dfp_dvet
P2MSDDVEU;Pointer onto master of fault dfp_dveu
P2MSDDVEUB;Pointer onto master of fault dfp_dveub
P2MSDDVEUW;Pointer onto master of fault dfp_dveuw
P2MSDDVEV;Pointer onto master of fault dfp_dvev
P2MSDDYLSU;Pointer onto master of fault dfp_dylsu
P2MSDDZIC1;Pointer onto master of fault dfp_dzic1
P2MSDDZKU0;Pointer onto master of fault dfp_dzku0
P2MSDDZKU1;Pointer onto master of fault dfp_dzku1
P2MSDDZKU2;Pointer onto master of fault dfp_dzku2
P2MSDDZKU3;Pointer onto master of fault dfp_dzku3
P2MSDEGFE;Pointer onto master of fault dfp_egfe
P2MSDEIS;Pointer onto master of fault dfp_eis
P2MSDEMOP;Pointer onto master of fault dfp_emop
P2MSDENWS;Pointer onto master of fault dfp_enws
P2MSDENWSE;Pointer onto master of fault dfp_enwse
P2MSDEONV;Pointer onto master of fault dfp_eonv
P2MSDFGRH;Pointer onto master of fault dfp_fgrh
P2MSDFMAS;Pointer onto master of fault dfp_fmas
P2MSDFP1P;Pointer onto master of fault dfp_fp1p
P2MSDFP2P;Pointer onto master of fault dfp_fp2p
P2MSDFPP;Pointer onto master of fault dfp_fpp
P2MSDFRA;Pointer onto master of fault dfp_fra
P2MSDFRST;Pointer onto master of fault dfp_frst
P2MSDFST;Pointer onto master of fault dfp_fst
P2MSDFST2;Pointer onto master of fault dfp_fst2
P2MSDGENE;Pointer onto master of fault dfp_gene
P2MSDGENFT;Pointer onto master of fault dfp_genft
P2MSDGENLT;Pointer onto master of fault dfp_genlt
P2MSDHDEVK;Pointer onto master of fault dfp_hdevk
P2MSDHDR;Pointer onto master of fault dfp_hdr
P2MSDHELSU;Pointer onto master of fault dfp_helsu
P2MSDHFM;Pointer onto master of fault dfp_hfm
P2MSDHFME;Pointer onto master of fault dfp_hfme
P2MSDHFMR;Pointer onto master of fault dfp_hfmr
P2MSDHR;Pointer onto master of fault dfp_hr
P2MSDHRE;Pointer onto master of fault dfp_hre
P2MSDHSH;Pointer onto master of fault dfp_hsh
P2MSDHSHE;Pointer onto master of fault dfp_hshe
P2MSDHSV;Pointer onto master of fault dfp_hsv
P2MSDHSVE;Pointer onto master of fault dfp_hsve
P2MSDICLSU;Pointer onto master of fault dfp_iclsu
P2MSDKAT;Pointer onto master of fault dfp_kat
P2MSDKOSE;Pointer onto master of fault dfp_kose
P2MSDKPE;Pointer onto master of fault dfp_kpe
P2MSDKRIC;Pointer onto master of fault dfp_kric
P2MSDKRSPI;Pointer onto master of fault dfp_krspi
P2MSDKS1;Pointer onto master of fault dfp_ks1
P2MSDKS2;Pointer onto master of fault dfp_ks2
P2MSDKUPPL;Pointer onto master of fault dfp_kuppl
P2MSDLASH;Pointer onto master of fault dfp_lash
P2MSDLDE;Pointer onto master of fault dfp_lde
P2MSDLDR;Pointer onto master of fault dfp_ldr
P2MSDLLRH;Pointer onto master of fault dfp_llrh
P2MSDLM;Pointer onto master of fault dfp_lm
P2MSDLSH;Pointer onto master of fault dfp_lsh
P2MSDLSUIA;Pointer onto master of fault dfp_lsuia
P2MSDLSUIP;Pointer onto master of fault dfp_lsuip
P2MSDLSUKS;Pointer onto master of fault dfp_lsuks
P2MSDLSUUN;Pointer onto master of fault dfp_lsuun
P2MSDLSUVM;Pointer onto master of fault dfp_lsuvm
P2MSDLSV;Pointer onto master of fault dfp_lsv
P2MSDLUEA;Pointer onto master of fault dfp_luea
P2MSDLUEB;Pointer onto master of fault dfp_lueb
P2MSDLUEC;Pointer onto master of fault dfp_luec
P2MSDLZSR;Pointer onto master of fault dfp_lzsr
P2MSDMD;Pointer onto master of fault dfp_md
P2MSDMD00;Pointer onto master of fault dfp_md00
P2MSDMD01;Pointer onto master of fault dfp_md01
P2MSDMD02;Pointer onto master of fault dfp_md02
P2MSDMD03;Pointer onto master of fault dfp_md03
P2MSDMDB;Pointer onto master of fault dfp_mdb
P2MSDMDSCH;Pointer onto master of fault dfp_mdsch
P2MSDMFA;Pointer onto master of fault dfp_mfa
P2MSDMILE;Pointer onto master of fault dfp_mile
P2MSDMSVE;Pointer onto master of fault dfp_msve
P2MSDN;Pointer onto master of fault dfp_n
P2MSDNWKWA;Pointer onto master of fault dfp_nwkwa
P2MSDNWKWE;Pointer onto master of fault dfp_nwkwe
P2MSDNWS;Pointer onto master of fault dfp_nws
P2MSDNWSE;Pointer onto master of fault dfp_nwse
P2MSDNWVPA;Pointer onto master of fault dfp_nwvpa
P2MSDNWVPE;Pointer onto master of fault dfp_nwvpe
P2MSDNX;Pointer onto master of fault dfp_nx
P2MSDORA;Pointer onto master of fault dfp_ora
P2MSDPAC;Pointer onto master of fault dfp_pac
P2MSDPBKVE;Pointer onto master of fault dfp_pbkve
P2MSDPBKVR;Pointer onto master of fault dfp_pbkvr
P2MSDPH;Pointer onto master of fault dfp_ph
P2MSDPH2;Pointer onto master of fault dfp_ph2
P2MSDPHM;Pointer onto master of fault dfp_phm
P2MSDPLLSU;Pointer onto master of fault dfp_pllsu
P2MSDPN;Pointer onto master of fault dfp_pn
P2MSDPOEL;Pointer onto master of fault dfp_poel
P2MSDPS1E;Pointer onto master of fault dfp_ps1e
P2MSDPS2E;Pointer onto master of fault dfp_ps2e
P2MSDPS3E;Pointer onto master of fault dfp_ps3e
P2MSDPSR;Pointer onto master of fault dfp_psr
P2MSDPSRE;Pointer onto master of fault dfp_psre
P2MSDPSRR;Pointer onto master of fault dfp_psrr
P2MSDPUE;Pointer onto master of fault dfp_pue
P2MSDPUR;Pointer onto master of fault dfp_pur
P2MSDPVD;Pointer onto master of fault dfp_pvd
P2MSDPVDE;Pointer onto master of fault dfp_pvde
P2MSDPVDR;Pointer onto master of fault dfp_pvdr
P2MSDSALSU;Pointer onto master of fault dfp_salsu
P2MSDSGPP;Pointer onto master of fault dfp_sgpp
P2MSDSTAE;Pointer onto master of fault dfp_stae
P2MSDSTHDR;Pointer onto master of fault dfp_sthdr
P2MSDTA;Pointer onto master of fault dfp_ta
P2MSDTAH;Pointer onto master of fault dfp_tah
P2MSDTANKL;Pointer onto master of fault dfp_tankl
P2MSDTCM;Pointer onto master of fault dfp_tcm
P2MSDTCS;Pointer onto master of fault dfp_tcs
P2MSDTES;Pointer onto master of fault dfp_tes
P2MSDTESG;Pointer onto master of fault dfp_tesg
P2MSDTEVE;Pointer onto master of fault dfp_teve
P2MSDTHM;Pointer onto master of fault dfp_thm
P2MSDTM;Pointer onto master of fault dfp_tm
P2MSDTME;Pointer onto master of fault dfp_tme
P2MSDTMP;Pointer onto master of fault dfp_tmp
P2MSDTOL;Pointer onto master of fault dfp_tol
P2MSDTUM;Pointer onto master of fault dfp_tum
P2MSDUB;Pointer onto master of fault dfp_ub
P2MSDUBR;Pointer onto master of fault dfp_ubr
P2MSDUFMV;Pointer onto master of fault dfp_ufmv
P2MSDUFNC;Pointer onto master of fault dfp_ufnc
P2MSDUFPR;Pointer onto master of fault dfp_ufpr
P2MSDUFRKC;Pointer onto master of fault dfp_ufrkc
P2MSDUFSGA;Pointer onto master of fault dfp_ufsga
P2MSDUFSGB;Pointer onto master of fault dfp_ufsgb
P2MSDUFSGC;Pointer onto master of fault dfp_ufsgc
P2MSDULSU;Pointer onto master of fault dfp_ulsu
P2MSDURRAM;Pointer onto master of fault dfp_urram
P2MSDURROM;Pointer onto master of fault dfp_urrom
P2MSDURRST;Pointer onto master of fault dfp_urrst
P2MSDUVSE;Pointer onto master of fault dfp_uvse
P2MSDVFZ;Pointer onto master of fault dfp_vfz
P2MSDWDA;Pointer onto master of fault dfp_wda
P2MSDWFS;Pointer onto master of fault dfp_wfs
P2MSDZZZ;Pointer onto master of fault dfp_zzz
P22;Intake manifold pressure
P22C;Intake manifold pressure after throttle with ambient pressure correction
PACDMNOF;Lower coolant-pressure threshold for switching the compressor on
PACDMNON;Lower coolant-pressure threshold for switching the compressor on
PACDMXOF;Upper coolant-pressure threshold for switching the compressor off
PACDMXON;Upper coolant-pressure threshold for switching the compressor on
PACE;Substitute value for air conditioning coolant pressure
PACKOE;Maximum a/c pressure to re-engage compressor
PACKOSLU;Pressure threshold in AC system for antislugging action
PACLFN;AC High side pressure above which adjustments due to vehicle speed are allowed
PACLFS1O;Upper pressure threshold air condition for fan control, step 1
PACLFS1U;Lower pressure threshold air condition for fan control, step 1
PACLFS2O;Upper pressure threshold air condition for fan control, step 2
PACLFS2U;Lower pressure threshold air condition for fan control, step 2
PACLFS3O;Upper pressure threshold air condition for fan control, step 3
PACLFS3U;Lower pressure threshold air condition for fan control, step 3
PACLFSCO;Upper pressure threshold air condition for fan control, cold ambient
PACLFSCU;Lower pressure threshold air condition for fan control, cold ambient
PALTCOR;Altitude correction of rel. load (cyl. charge) based on intake manifold press.
PBGDEFAULT;Default value of the boost pressure in case of a pressure sensor error
PBGOFFSET;Offset for computing the boost gage PWM signal
PBGSLOPE;Slope for computing the boost gage PWM signal
PBKVKREHY;Hysteresis to critical high limit for break booster pressure
PBKVKRHYPU;Hysteresis to critical high limit for pressure in brake booster
PBKVMN;Min. possible pressure of brake booster pressure
PBKVMX;Max. possible pressure in brake booster
PBRINTMN;Partial pressure residual gas in chamber minimum
PBRINTMX;Partial pressure residual gas in chamber maximum
PEDWOT;Accel. Pedal pos. above which Cam Control is active for WOT launch
PEKP;Supply rate EKP
PEKPVL;Threshold of fuel pressure for EKP lead time
PEKPVLDSPO;EKP pre-run
PEONVDFP;Decrease/increase in pressure after a peak needed to identify it as a overpressu
PEONVPZERO;Boundary at which pressure is considered zero in EONV
PFDSKVSNO;Threshold for negative offset
PFPVLLKMN;Threshold (min) to reset the pulsation detection for the boost pressure
PFPVLLKMX;Threshold (max) to reset the pulsation detection for the boost pressure
PFVDSPO;Threshold for suspicion positive offset
PGFLNL;Value of phase edges till NLDG is activated if E_n is registered
PGFLWA;Number of edges of phase signal for error B_signal of the engine speed sensor
PHBM;Maximum Value for debouncing of ref mark errors
PHLSHMN;Heating power for adequate sensor heating
PHNMO;Rpm threshold to calculate only 1 phase edge
PHNMU;Rpm threshold to calculate only 2 phase edges
PHNOKA;Start value for counter phase signal not ok
PHPOSERR;Maximum value for debouncing of cam edge errors
PHUFRAA;Physically uegency for FRA demand
PHUFRAC;Physically uegency for FRA for application purposes
PHUFRAM;Physically uegency for FRA (run along too while homogenous mode)
PHUFRAP;Physically uegency for FRA via phase decider
PHUFRAS;Physically uegency for FRA stop
PHUORAA;Physically uegency for ORA demand
PHUORAC;Physically uegency for ORA for application purpoese
PHUORAM;Physically uegency for ORA (run along too while homogenous mode)
PHUORAP;Physically uegency for ORA via phase decider
PHUORAS;Physically uegency for ORA stop
PHZAHN;Threshold for discrimination between long and short pattern of camshaft signal
PLFMS;Pressure difference at air filter
PLRFOSCHK;Characteristic curve to correct the P-part by catalyst ageing
PPRBMX;Lower boundary at which pressure is considered essentially zero
PRAAAA;Dummy fid: Base priority of an active fid (mode A)
PRAFRA;Base priority: mode A, mult. range of LRA
PRAORA;Base priority: mode A, additive range of LRA
PRATEH;Base priority: mode A, purge control at high load
PRATEL;Base priority: mode A, purge control at low load
PRATEN;Base priority of function ATEN emergency canister purge
PRBAAA;Dummy fid: Base priority of an inactive fid (mode B)
PRBFRST;Base priority: mode B, shor test of close loop control
PRBHKT;Base priority of function DKATSP
PRBHKT2;Base priority of function DKATSP
PRBLASH;Base priority: mode B, function DLSAHK
PRBLLRH;Base priority of function BLLRH idlespeed deviation HOM
PRBLLRKH;Base priority of function idle speed control diagnosis
PRCAAA;Dummy fid: Base priority of an inhibit-only fid (mode C)
PRCFCEOS;Label for calibration purposes: start of check filler cap diagnose
PRDIFRCURH;Pressure Deviation Limit for activation of Reduced Current Control
